length,score
873,-113.0
2332,-130.0
630,0.0
2101,-313.0
2360,-50.0
1944,0.0
1427,-30.0
409,-24.0
931,-28.0
2028,-100.0
826,-21.0
358,0.0
514,0.0
2304,-442.0
684,-12.0
2924,-178.0
587,0.0
1595,-428.0
4025,-300.0
631,0.0
510,-60.0
665,0.0
3670,-381.0
659,-24.0
592,-39.0
452,0.0
4088,0.0
1988,-82.0
523,0.0
4020,-750.0
420,0.0
335,-11.0
349,0.0
1037,-100.0
1621,0.0
495,0.0
1558,0.0
894,-188.0
1445,-204.0
1830,-174.0
2373,-388.0
2287,-182.0
407,0.0
1150,0.0
673,-42.0
764,0.0
349,0.0
559,-100.0
753,-1.0
379,0.0
416,0.0
1343,-150.0
1745,0.0
1275,-34.0
409,0.0
331,0.0
510,0.0
671,-42.0
500,0.0
584,0.0
418,0.0
862,0.0
519,-57.0
1616,-123.0
610,-131.0
2637,-319.0
500,0.0
845,-43.0
2068,-100.0
345,0.0
756,-41.0
758,-69.0
2110,-100.0
612,0.0
669,-42.0
2087,-100.0
660,0.0
678,-19.0
234,0.0
331,0.0
1023,-150.0
1749,-226.0
1082,0.0
1789,-153.0
493,0.0
271,0.0
1261,0.0
836,-27.0
677,-26.0
313,0.0
324,-43.0
498,-10.0
4405,-264.0
1016,0.0
2196,-408.0
500,0.0
785,-76.0
3483,-339.0
742,-30.0
2216,-176.0
833,-9.0
456,0.0
2673,-300.0
1012,-47.0
416,-1.0
4939,-808.0
1876,-299.0
348,-1.0
1252,0.0
3841,-1488.0
403,-5.0
407,0.0
3423,-200.0
497,0.0
4126,-400.0
547,0.0
2690,-100.0
477,-22.0
328,0.0
422,0.0
423,-26.0
586,-24.0
1575,-100.0
861,-8.0
1739,-131.0
504,-22.0
2555,0.0
1869,-240.0
672,-50.0
2006,-94.0
332,0.0
818,-90.0
4675,-1220.0
437,-24.0
2103,0.0
329,0.0
350,0.0
458,0.0
420,-1.0
661,0.0
1024,-75.0
641,0.0
490,0.0
1128,-200.0
2805,-243.0
1889,0.0
430,-46.0
3061,-200.0
1015,-114.0
9044,-441.0
312,0.0
496,-35.0
1001,-184.0
504,0.0
1380,-640.0
513,0.0
1112,-9.0
507,-21.0
514,0.0
503,-21.0
756,-136.0
1010,-88.0
663,-33.0
745,-36.0
993,-340.0
2111,-200.0
524,0.0
337,0.0
903,-100.0
552,0.0
3036,-100.0
491,-92.0
580,0.0
6092,-300.0
326,-11.0
741,-13.0
401,0.0
421,-13.0
333,0.0
274,0.0
3253,-246.0
4210,-818.0
4525,-400.0
1540,0.0
513,-46.0
499,0.0
584,-40.0
5467,-400.0
271,0.0
507,-37.0
343,0.0
2928,-400.0
510,-100.0
575,-22.0
677,0.0
677,-100.0
998,-125.0
422,0.0
413,0.0
736,-75.0
505,0.0
321,0.0
488,0.0
411,-20.0
711,-74.0
417,0.0
1530,-213.0
673,-15.0
486,-45.0
1023,-27.0
329,-7.0
577,-20.0
3759,-353.0
409,-1.0
3200,-100.0
5157,0.0
915,0.0
1638,0.0
741,-28.0
666,-23.0
389,-8.0
410,-9.0
669,0.0
2248,-376.0
658,0.0
410,0.0
671,-55.0
767,-37.0
944,-308.0
483,-100.0
753,-71.0
322,-17.0
685,-20.0
408,0.0
506,-26.0
416,0.0
843,-40.0
857,-28.0
424,-14.0
2143,0.0
6232,-300.0
319,0.0
584,-22.0
762,-126.0
364,0.0
2925,-300.0
491,0.0
1520,-104.0
329,0.0
595,-64.0
530,-26.0
2881,-100.0
459,-26.0
323,-17.0
2954,-384.0
2029,-96.0
1004,-139.0
1267,-100.0
1183,-153.0
1417,-61.0
318,-15.0
4652,-292.0
408,0.0
1040,-9.0
385,0.0
2107,-400.0
677,0.0
834,-68.0
478,-46.0
1835,0.0
1976,-100.0
486,0.0
585,0.0
327,0.0
493,-49.0
1001,0.0
582,0.0
1598,-750.0
19447,-1615.0
3084,-246.0
409,0.0
357,0.0
504,-71.0
409,0.0
385,-26.0
377,-24.0
391,-24.0
583,-58.0
328,0.0
416,0.0
316,-14.0
319,0.0
325,0.0
323,0.0
414,-22.0
691,-133.0
2977,-200.0
327,0.0
602,-32.0
496,-47.0
2285,-100.0
489,0.0
319,-13.0
471,0.0
2576,-426.0
231,0.0
10249,-100.0
