length,score
416,-70.0
652,0.0
493,0.0
517,0.0
496,-5.0
1405,-100.0
593,-5.0
575,-45.0
573,-74.0
972,-200.0
1168,-72.0
4928,0.0
331,0.0
846,-35.0
3617,-122.0
315,-2.0
987,-70.0
502,-44.0
580,0.0
749,-20.0
3613,-300.0
3847,-109.0
1620,-152.0
318,0.0
3682,-100.0
688,0.0
492,-10.0
677,-22.0
739,-15.0
328,0.0
2895,-481.0
1250,-193.0
663,-100.0
436,-22.0
646,-51.0
434,0.0
13472,-1825.0
507,-50.0
506,-5.0
668,0.0
487,-20.0
412,0.0
337,0.0
318,0.0
7592,0.0
4604,-262.0
494,0.0
802,-100.0
4547,-200.0
922,-42.0
411,0.0
1166,-66.0
2146,-100.0
3631,-200.0
919,-160.0
1606,-120.0
521,-96.0
9552,-400.0
5683,-300.0
322,0.0
4688,-100.0
3140,-122.0
670,-62.0
698,-322.0
671,0.0
333,0.0
914,-85.0
493,0.0
322,0.0
333,-2.0
426,0.0
329,-9.0
326,-21.0
6644,-100.0
331,0.0
327,0.0
451,-46.0
5177,-100.0
608,-75.0
502,-9.0
417,-9.0
430,0.0
3655,-200.0
3226,-200.0
853,-48.0
543,0.0
561,-24.0
407,-38.0
333,-9.0
337,0.0
423,-5.0
498,0.0
410,0.0
320,0.0
324,0.0
335,0.0
998,-52.0
338,-18.0
496,-31.0
671,0.0
2956,-100.0
